League ID,Pokemon ID,Sprite URL,League name,League Region
1,906,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/sprigatito.jpg,Scarlet & Violet,Paldea
2,907,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/floragato.jpg,Scarlet & Violet,Paldea
3,908,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/meowscarada.jpg,Scarlet & Violet,Paldea
4,909,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/fuecoco.jpg,Scarlet & Violet,Paldea
5,910,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/crocalor.jpg,Scarlet & Violet,Paldea
6,911,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/skeledirge.jpg,Scarlet & Violet,Paldea
7,912,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/quaxly.jpg,Scarlet & Violet,Paldea
8,913,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/quaxwell.jpg,Scarlet & Violet,Paldea
9,914,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/quaquaval.jpg,Scarlet & Violet,Paldea
10,915,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/lechonk.jpg,Scarlet & Violet,Paldea
11,916,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/oinkologne.jpg,Scarlet & Violet,Paldea
12,917,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/tarountula.jpg,Scarlet & Violet,Paldea
13,918,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/spidops.jpg,Scarlet & Violet,Paldea
14,919,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/nymble.jpg,Scarlet & Violet,Paldea
15,920,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/lokix.jpg,Scarlet & Violet,Paldea
16,187,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/hoppip.jpg,Scarlet & Violet,Paldea
17,188,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/skiploom.jpg,Scarlet & Violet,Paldea
18,189,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/jumpluff.jpg,Scarlet & Violet,Paldea
19,661,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/fletchling.jpg,Scarlet & Violet,Paldea
20,662,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/fletchinder.jpg,Scarlet & Violet,Paldea
21,663,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/talonflame.jpg,Scarlet & Violet,Paldea
22,921,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/pawmi.jpg,Scarlet & Violet,Paldea
23,922,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/pawmo.jpg,Scarlet & Violet,Paldea
24,923,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/pawmot.jpg,Scarlet & Violet,Paldea
25,228,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/houndour.jpg,Scarlet & Violet,Paldea
26,229,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/houndoom.jpg,Scarlet & Violet,Paldea
27,734,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/yungoos.jpg,Scarlet & Violet,Paldea
28,735,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/gumshoos.jpg,Scarlet & Violet,Paldea
29,819,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/skwovet.jpg,Scarlet & Violet,Paldea
30,820,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/greedent.jpg,Scarlet & Violet,Paldea
31,191,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/sunkern.jpg,Scarlet & Violet,Paldea
32,192,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/sunflora.jpg,Scarlet & Violet,Paldea
33,401,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/kricketot.jpg,Scarlet & Violet,Paldea
34,402,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/kricketune.jpg,Scarlet & Violet,Paldea
35,664,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/scatterbug.jpg,Scarlet & Violet,Paldea
36,665,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/spewpa.jpg,Scarlet & Violet,Paldea
37,666,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/vivillon.jpg,Scarlet & Violet,Paldea
38,415,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/combee.jpg,Scarlet & Violet,Paldea
39,416,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/vespiquen.jpg,Scarlet & Violet,Paldea
40,821,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/rookidee.jpg,Scarlet & Violet,Paldea
41,822,https://img.pokemondb.net/sprites/scarlet-violet/normal/2x/corvisquire.jpg,Scarlet & Violet,Paldea
